date_id,release_date,release_month,release_year
789,2018-01-13,January,2018
790,2015-10-03,October,2015
791,2015-05-08,May,2015
792,2016-12-26,December,2016
793,2016-12-02,December,2016
794,2016-07-07,July,2016
795,2015-03-30,March,2015
796,2015-04-20,April,2015
797,2017-01-12,January,2017
798,2014-03-20,March,2014
799,2017-01-06,January,2017
800,2016-05-23,May,2016
801,2016-01-25,January,2016
802,2015-06-10,June,2015
803,2016-07-16,July,2016
804,2015-03-22,March,2015
805,2016-02-03,February,2016
806,2016-02-07,February,2016
807,2015-04-14,April,2015
808,2014-07-18,July,2014
809,2014-06-05,June,2014
810,2013-07-01,July,2013
811,2017-02-20,February,2017
812,2013-05-06,May,2013
813,2016-04-24,April,2016
814,2015-02-25,February,2015
815,2012-07-20,July,2012
816,2017-02-05,February,2017
817,2015-03-27,March,2015
818,2016-06-10,June,2016
819,2016-11-05,November,2016
820,2017-10-01,October,2017
821,2017-04-13,April,2017
822,2015-11-05,November,2015
823,2016-11-26,November,2016
824,2012-02-08,February,2012
825,2016-01-15,January,2016
826,2016-02-20,February,2016
827,2016-06-01,June,2016
828,2016-11-30,November,2016
829,2014-04-13,April,2014
830,2016-11-25,November,2016
831,2016-04-10,April,2016
832,2017-03-31,March,2017
833,2013-04-22,April,2013
834,2014-12-15,December,2014
835,2014-06-09,June,2014
836,2015-03-04,March,2015
837,2016-04-05,April,2016
838,2015-10-16,October,2015
839,2017-05-12,May,2017
840,2013-02-22,February,2013
841,2016-01-26,January,2016
842,2016-12-16,December,2016
843,2017-02-24,February,2017
844,2015-05-15,May,2015
845,2016-10-24,October,2016
846,2016-11-06,November,2016
847,2014-10-06,October,2014
848,2015-05-21,May,2015
849,2015-07-17,July,2015
850,2018-03-18,March,2018
851,2015-10-17,October,2015
852,2015-05-01,May,2015
853,2017-04-26,April,2017
854,2014-01-11,January,2014
855,2013-06-02,June,2013
856,2016-11-14,November,2016
857,2016-01-10,January,2016
858,2014-10-11,October,2014
859,2016-04-29,April,2016
860,2015-03-25,March,2015
861,2015-03-08,March,2015
862,2014-10-10,October,2014
863,2013-06-15,June,2013
864,2015-12-17,December,2015
865,2016-03-17,March,2016
866,2011-07-10,July,2011
867,2014-02-11,February,2014
868,2014-03-25,March,2014
869,2015-12-24,December,2015
870,2015-06-08,June,2015
871,2017-07-20,July,2017
872,2017-01-24,January,2017
873,2015-06-04,June,2015
874,2017-07-23,July,2017
875,2015-06-26,June,2015
876,2017-01-14,January,2017
877,2017-10-13,October,2017
878,2017-03-22,March,2017
879,2013-05-21,May,2013
880,2014-01-23,January,2014
881,2015-10-11,October,2015
882,2016-06-24,June,2016
883,2017-02-13,February,2017
884,2016-06-17,June,2016
885,2017-11-19,November,2017
886,2015-04-15,April,2015
887,2016-11-15,November,2016
888,2011-06-23,June,2011
889,2013-07-03,July,2013
890,2016-06-09,June,2016
891,2016-04-27,April,2016
892,2015-03-10,March,2015
893,2016-03-30,March,2016
894,2016-06-27,June,2016
895,2016-05-13,May,2016
896,2016-10-10,October,2016
897,2017-06-14,June,2017
898,2014-07-30,July,2014
899,2015-06-19,June,2015
900,2017-05-27,May,2017
901,2016-01-08,January,2016
902,2017-02-28,February,2017
903,2016-07-20,July,2016
904,2017-04-19,April,2017
905,2017-03-10,March,2017
906,2016-10-04,October,2016
907,2015-05-11,May,2015
908,2014-02-13,February,2014
909,2015-03-21,March,2015
910,2013-11-13,November,2013
911,2011-01-30,January,2011
912,2015-03-26,March,2015
913,2015-07-02,July,2015
914,2015-06-05,June,2015
915,2015-07-18,July,2015
916,2013-10-28,October,2013
917,2010-05-21,May,2010
918,2014-05-20,May,2014
919,2016-04-30,April,2016
920,2011-12-01,December,2011
921,2015-05-16,May,2015
922,2017-07-01,July,2017
923,2013-05-02,May,2013
924,2015-12-23,December,2015
925,2016-04-17,April,2016
926,2016-07-27,July,2016
927,2016-02-26,February,2016
928,2015-03-09,March,2015
929,2015-01-14,January,2015
930,2016-02-16,February,2016
931,2017-01-17,January,2017
932,2016-03-24,March,2016
933,2014-10-07,October,2014
934,2015-06-25,June,2015
935,2013-06-26,June,2013
936,2016-07-11,July,2016
937,2016-12-18,December,2016
938,2017-01-29,January,2017
939,2017-04-17,April,2017
940,2014-10-18,October,2014
941,2017-02-04,February,2017
942,2014-12-04,December,2014
943,2017-05-04,May,2017
944,2016-12-29,December,2016
945,2014-01-17,January,2014
946,2016-07-13,July,2016
947,2014-10-25,October,2014
948,2016-05-18,May,2016
949,2017-07-15,July,2017
950,2013-02-11,February,2013
951,2017-02-11,February,2017
952,2016-06-25,June,2016
953,2014-01-22,January,2014
954,2013-07-26,July,2013
955,2012-07-30,July,2012
956,2015-07-07,July,2015
957,2016-11-21,November,2016
958,2015-05-27,May,2015
959,2016-05-16,May,2016
960,2017-04-20,April,2017
961,2016-07-09,July,2016
962,2017-07-27,July,2017
963,2016-03-29,March,2016
964,2016-03-18,March,2016
965,2015-01-22,January,2015
966,2015-02-20,February,2015
967,2015-02-14,February,2015
968,2014-02-06,February,2014
969,2015-11-14,November,2015
970,2016-03-04,March,2016
971,2016-02-04,February,2016
972,2016-07-25,July,2016
973,2011-04-16,April,2011
974,2013-05-18,May,2013
975,2013-12-26,December,2013
976,2013-05-09,May,2013
977,2012-06-01,June,2012
978,2016-02-17,February,2016
979,2016-12-10,December,2016
980,2014-06-17,June,2014
981,2017-06-19,June,2017
982,2014-01-21,January,2014
983,2016-10-01,October,2016
984,2016-05-09,May,2016
985,2012-02-27,February,2012
986,2015-01-26,January,2015
987,2016-05-29,May,2016
988,2016-06-23,June,2016
989,2013-12-12,December,2013
990,2014-02-18,February,2014
991,2015-10-29,October,2015
992,2014-06-30,June,2014
993,2014-06-06,June,2014
994,2017-01-20,January,2017
995,2015-04-03,April,2015
